State/UT,x,y
Andaman and Nicobar Islands,209,-240
Andhra Pradesh,-88,-117
Arunachal Pradesh,253,132
Assam,217,86
Bihar,65,67
Chhattisgarh,-22,-31
Dadra and Nagar Haveli and Daman and Diu,-208,-52
Delhi,-114,137
Goa,-181,-164
Gujarat,-231,8
Haryana,-136,155
Himachal Pradesh,-188,223
Jharkhand,44,31
Karnataka,-159,-188
Kerala,-136,-263
Lakshadweep,-212,-265
Madhya Pradesh,-110,12
Maharashtra,-161,-80
Manipur,233,49
Meghalaya,174,64
Mizoram,212,14
Nagaland,250,84
Odisha,33,-41
Puducherry,-61,-235
Punjab,-156,184
Rajasthan,-197,86
Sikkim,121,116
Tamil Nadu,-89,-254
Telangana,-86,-91
Tripura,185,23
Chandigarh,-156,196
Jammu and Kashmir,-127,281
Ladakh,-130,307
Uttar Pradesh,-73,122
Uttarakhand,-67,172
West Bengal,103,20
